area,spell_id,name,rank,family,dmg_class,school_mask,cast_ms,base_cast_ms,gcd_ms,gcd_category,cooldown_ms,category_cooldown_ms,duration_ms,max_duration_ms,stacks,tick_ms,speed,max_targets,binary,channeled,ranged_slot,auto_repeat,resets_swing,haste_gcd,haste_periodic,no_active_defense,always_hit,positive,passive,proc_ppm,proc_chance,proc_icd_ms,triggers,scripts,sim_refs
warrior,2565,Shield Block,,4,0,1,0,0,0,0,60000,0,10000,10000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warrior/shield_block.go:11
warrior,2687,Bloodrage,,4,0,1,0,0,0,0,60000,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,29131,,sim/warrior/bloodrage.go:10
core shaman,2825,Bloodlust,,11,0,8,0,0,1500,133,300000,0,40000,40000,0,0,0,0,yes,no,no,no,no,yes,no,no,no,yes,no,,,,,spell_sha_bloodlust,sim/core/buffs.go:559 sim/core/serverdata_allowlist.go:14 sim/core/serverdata_allowlist.go:15 +2 more
shaman,2894,Fire Elemental Totem,,11,1,1,0,0,1000,133,600000,120000,120000,120000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/shaman/fire_elemental_totem.go:17 sim/shaman/serverdata_allowlist.go:23
core hunter,3043,Scorpid Sting,,9,3,8,0,-1000000,1500,133,0,0,20000,20000,0,0,40,0,yes,no,yes,no,no,no,no,no,no,no,no,,,,,,sim/core/debuffs.go:893 sim/hunter/scorpid_sting.go:11
hunter,3045,Rapid Fire,,9,0,1,0,0,0,0,0,300000,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/hunter/rapid_fire.go:11
shaman,3738,Wrath of Air Totem,,11,1,1,0,0,1000,133,0,0,300000,300000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/shaman/serverdata_allowlist.go:14 sim/shaman/totems.go:25
druid,5229,Enrage,,7,0,1,0,0,0,0,60000,0,10000,10000,0,1000,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,spell_dru_enrage,sim/druid/enrage.go:11
rogue,5938,Shiv,,8,2,1,0,0,1000,133,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,yes,yes,no,no,,,,,spell_rog_shiv,sim/rogue/shiv.go:17
rogue,6774,Slice and Dice,Rank 2,8,0,1,0,0,1000,133,0,0,6000,21000,0,0,0,0,no,no,no,no,no,no,no,no,yes,yes,no,,,,,,sim/rogue/slice_and_dice.go:11
priest,6788,Weakened Soul,,6,0,2,0,0,0,0,0,0,15000,15000,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/priest/power_word_shield.go:83
core,6940,Hand of Sacrifice,,10,1,2,0,0,1500,133,120000,0,12000,12000,0,0,0,0,yes,no,no,no,no,yes,no,no,no,yes,no,,,,,spell_pal_hand_of_sacrifice,sim/core/buffs.go:865 sim/core/buffs.go:883 sim/core/serverdata_allowlist.go:16 +1 more
warrior,7384,Overpower,,4,2,1,0,0,1500,133,0,5000,1,1,0,0,0,0,no,no,no,no,no,no,no,yes,no,no,no,,,,,spell_warr_overpower,sim/warrior/overpower.go:45
shaman,8143,Tremor Totem,,11,1,1,0,0,1000,133,0,0,300000,300000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/shaman/serverdata_allowlist.go:15 sim/shaman/totems.go:116
shaman,8512,Windfury Totem,,11,1,1,0,0,1000,133,0,0,300000,300000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/shaman/serverdata_allowlist.go:16 sim/shaman/totems.go:33
core rogue,8647,Expose Armor,,8,2,1,0,0,1000,133,0,0,0,30000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/debuffs.go:610 sim/rogue/expose_armor.go:25
druid,9634,Dire Bear Form,Shapeshift,7,0,1,0,0,1500,133,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,spell_dru_feral_swiftness,sim/druid/forms.go:234
core priest,10060,Power Infusion,,6,0,2,0,0,0,0,120000,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/core/buffs.go:631 sim/core/buffs.go:664 sim/core/serverdata_allowlist.go:18 +1 more
mage,11129,Combustion,,3,1,4,0,0,0,0,120000,0,-1,-1,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,0,100,0,28682,spell_mage_combustion,sim/mage/talents.go:440
shaman,11350,Fire Shield,,0,1,4,0,0,0,0,0,0,15000,15000,0,3000,0,0,no,no,no,no,yes,no,no,no,no,yes,no,,,,11351,,sim/shaman/fire_elemental_spells.go:77
core,11374,Gift of Arthas,,0,0,8,0,0,0,0,0,0,180000,180000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/consumes.go:279 sim/core/debuffs.go:404
warlock,11719,Curse of Tongues,Rank 2,5,1,32,0,0,1500,133,0,0,30000,30000,0,0,0,0,yes,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/warlock/curses.go:79
mage,11958,Cold Snap,,3,1,16,0,0,0,0,480000,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,yes,no,,,,,spell_mage_cold_snap,sim/mage/talents.go:585
mage,12042,Arcane Power,,3,1,64,0,0,0,0,120000,15000,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/mage/talents.go:353
mage,12043,Presence of Mind,,3,1,1,0,0,0,0,120000,1500,-1,-1,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,0,100,0,,,sim/mage/talents.go:292
mage,12051,Evocation,,3,0,64,0,0,1500,133,240000,0,8000,8000,0,2000,0,0,yes,yes,no,no,yes,yes,yes,no,no,yes,no,,,,,,sim/mage/evocation.go:10
warrior,12281,Sword Specialization,Rank 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,2,6000,16459,,sim/warrior/talents.go:436
warrior,12292,Death Wish,,4,0,1,0,0,1500,133,180000,0,30000,30000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warrior/serverdata_allowlist.go:10 sim/warrior/talents.go:692
warrior,12296,Anger Management,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/warrior/talents.go:136
shaman,12470,Fire Nova,,0,1,4,2000,2000,0,0,9500,14000,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,,,,,,sim/shaman/fire_elemental_spells.go:43 sim/shaman/serverdata_allowlist.go:26 sim/shaman/serverdata_allowlist.go:27
mage,12472,Icy Veins,,3,1,16,0,0,0,0,180000,0,20000,20000,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,,,,,,sim/mage/talents.go:537
mage,12488,Improved Blizzard,Rank 3,3,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,101,0,,spell_mage_imp_blizzard,sim/mage/blizzard.go:14 sim/mage/blizzard.go:20
mage,12536,Clearcasting,,3,1,64,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,spell_mage_clearcasting,sim/mage/talents.go:174
mage,12654,Ignite,,3,0,4,0,0,0,0,0,0,4000,4000,0,2000,0,0,no,no,no,no,no,no,no,no,yes,no,no,,,,,,sim/mage/ignite.go:43
warrior,12723,Sweeping Strikes,Rank 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warrior/serverdata_allowlist.go:14 sim/warrior/sweeping_strikes.go:15
warrior,12727,Shield Specialization,Rank 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,0,23602,,sim/warrior/talents.go:669
warrior,12809,Concussion Blow,,4,2,1,0,0,1500,133,30000,0,5000,5000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,spell_warr_concussion_blow,sim/warrior/concussion_blow.go:15
warrior,12867,Deep Wounds,Rank 3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,12868,spell_warr_deep_wounds_aura,sim/warrior/deep_wounds.go:15
core,12873,Improved Scorch,Rank 3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,0,22959,,sim/core/debuffs.go:461
warrior,12974,Flurry,Rank 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,0,12970,,sim/warrior/talents.go:500
warrior,12975,Last Stand,,4,0,1,0,0,0,0,0,180000,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,spell_warr_last_stand,sim/warrior/talents.go:740
warrior,13002,Unbridled Wrath,Rank 5,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,15,0,0,12964,,sim/warrior/talents.go:470
shaman,13339,Fire Blast,,3,1,4,0,0,0,0,5000,5000,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,,,,,,sim/shaman/fire_elemental_spells.go:11 sim/shaman/serverdata_allowlist.go:28 sim/shaman/serverdata_allowlist.go:29
rogue,13750,Adrenaline Rush,,8,0,1,0,0,1000,133,180000,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/rogue/talents.go:526
rogue,13877,Blade Flurry,,8,0,1,0,0,1000,133,120000,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,spell_rog_blade_flurry,sim/rogue/talents.go:425
rogue,13964,Hack and Slash,Rank 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,5,0,66923,,sim/rogue/hack_and_slash.go:23
rogue,13980,Initiative,Rank 3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,13977,,sim/rogue/talents.go:313
rogue,14083,Dirty Deeds,Rank 2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/rogue/talents.go:178
rogue,14161,Ruthlessness,Rank 3,8,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,60,0,14157,,sim/rogue/talents.go:72
rogue,14177,Cold Blood,,8,0,1,0,0,0,0,180000,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,spell_rog_cold_blood,sim/rogue/talents.go:222
rogue,14179,Relentless Strikes,Rank 1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,,,,14181,,sim/rogue/talents.go:66
rogue,14183,Premeditation,,8,0,1,0,0,0,0,20000,0,20000,20000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/rogue/premeditation.go:14 sim/rogue/premeditation.go:17
rogue,14185,Preparation,,8,0,1,0,0,1000,133,480000,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,spell_rog_preparation,sim/rogue/preparation.go:16
rogue,14195,Seal Fate,Rank 5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,500,14189,,sim/rogue/talents.go:277
rogue,14278,Ghostly Strike,,8,2,1,0,0,1000,133,20000,0,7000,7000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/rogue/ghostly_strike.go:17
priest,14751,Inner Focus,,6,1,1,0,0,0,0,180000,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/priest/talents.go:471
core,15235,Crystal Yield,,0,1,64,0,0,0,0,0,0,120000,120000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/debuffs.go:949
priest,15258,Shadow Weaving,Rank 1,6,0,32,0,0,0,0,0,0,15000,15000,5,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/priest/talents.go:432
core,15363,Inspiration,Rank 3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,15359,,sim/core/buffs.go:366
common/tbc,15600,Hand of Justice,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,1,2,2000,15601,spell_gen_proc_reduced_above_60,sim/common/tbc/melee_trinkets.go:12 sim/common/tbc/melee_trinkets.go:33
shaman,16166,Elemental Mastery,,11,1,8,0,0,0,0,0,180000,30000,30000,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,0,100,0,64701,,sim/shaman/talents.go:172
shaman,16188,Nature's Swiftness,,11,1,1,0,0,0,0,0,120000,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/shaman/serverdata_allowlist.go:33 sim/shaman/talents.go:266
core,16190,Mana Tide Totem,,11,1,1,0,0,1000,133,0,300000,13000,13000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/core/buffs.go:1148 sim/core/serverdata_allowlist.go:19 sim/core/serverdata_allowlist.go:20
shaman,16246,Clearcasting,,11,1,64,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,spell_sha_clearcasting,sim/shaman/talents.go:82
shaman,16280,Flurry,Rank 5,11,0,1,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,500,,spell_sha_flurry_proc,sim/shaman/talents.go:336
common/tbc,16551,Felstriker,,3,0,1,0,0,0,0,0,0,3000,3000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/common/tbc/melee_items.go:364
druid,16857,Faerie Fire (Feral),,7,1,8,0,0,1000,133,0,6000,300000,300000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,spell_tweaks_omen_faerie_fire,sim/druid/faerie_fire.go:22 sim/druid/serverdata_allowlist.go:10
druid,16870,Clearcasting,,7,1,8,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/druid/talents.go:323
druid,16886,Nature's Grace,,7,1,8,0,0,0,0,0,0,3000,3000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/druid/talents.go:104
druid,17116,Nature's Swiftness,,7,1,1,0,0,0,0,180000,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/druid/talents.go:137
shaman,17364,Stormstrike,,11,2,1,0,0,1500,133,8000,0,12000,12000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,0,100,0,32175 32176,,sim/shaman/stormstrike.go:11
core,17800,Shadow Mastery,,5,0,32,0,0,0,0,0,0,30000,30000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/debuffs.go:457
warlock,17941,Shadow Trance,,5,1,32,0,0,0,0,0,0,10000,10000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,101,0,,,sim/warlock/talents.go:323
warlock,17962,Conflagrate,,5,1,4,0,0,1500,133,0,10000,6000,6000,0,2000,0,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/warlock/conflagrate.go:17
warrior,18499,Berserker Rage,,4,0,1,0,0,1500,133,30000,0,10000,10000,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warrior/berserker_rage.go:10
common/tbc,18979,Lightning,,0,1,8,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,5,0,18980,,sim/common/tbc/melee_sets.go:86 sim/common/tbc/melee_sets.go:116
common/tbc,18980,Lightning,Rank 1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/common/tbc/melee_sets.go:72
warlock,19483,Immolation,Rank 1,0,1,4,0,0,0,0,0,0,0,0,0,2000,0,0,no,no,no,no,no,no,no,no,no,yes,yes,,,,20153,,sim/warlock/inferno.go:149
hunter,19556,Improved Aspect of the Hawk,Rank 5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/hunter/aspects.go:21
hunter,19574,Bestial Wrath,,9,0,1,0,0,0,0,120000,0,10000,10000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,spell_hun_bestial_wrath,sim/hunter/talents.go:413
hunter,19625,Frenzy,Rank 5,9,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/hunter/talents.go:374
common/tbc,20007,Holy Strength,,0,0,1,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,spell_gen_reduced_above_60,sim/common/tbc/enchant_effects.go:73 sim/common/tbc/enchant_effects.go:74
paladin,20057,Vengeance,Rank 3,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,20053,,sim/paladin/talents.go:389
paladin,20132,Redoubt,,0,0,1,0,0,0,0,0,0,10000,10000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/paladin/talents.go:133
warlock,20153,Immolation,Rank 1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warlock/inferno.go:138
paladin,20154,Seal of Righteousness,,10,1,2,0,0,1500,133,0,0,1800000,1800000,0,0,0,0,no,no,no,no,no,yes,no,no,no,yes,no,0,100,0,,spell_pal_seal_of_righteousness,sim/paladin/sor.go:55
paladin,20182,Reckoning,Rank 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,10,0,20178,,sim/paladin/talents.go:179
core,20186,Judgement of Wisdom,Rank 1,10,2,2,0,0,0,0,0,0,20000,20000,0,0,0,0,no,no,no,no,no,no,no,yes,yes,no,no,15,0,0,,spell_pal_judgement_of_wisdom_mana,sim/core/debuffs.go:203 sim/core/debuffs.go:207
paladin,20187,Judgement of Righteousness,Rank 1,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,yes,yes,no,no,,,,,,sim/paladin/sor.go:28
core paladin,20271,Judgement of Light,,10,3,2,0,0,1500,133,10000,10000,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,spell_pal_judgement_of_light,sim/core/debuffs.go:254 sim/paladin/judgement.go:64
core,20337,Heart of the Crusader,Rank 3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,yes,0,100,0,54499,spell_pal_heart_of_the_crusader,sim/core/debuffs.go:921
paladin,20375,Seal of Command,,10,1,2,0,0,1500,133,0,0,1800000,1800000,0,0,0,0,no,no,no,no,no,yes,no,no,no,yes,no,0,100,0,20424,spell_pal_seal_of_command,sim/paladin/soc.go:121
paladin,20424,Seal of Command,,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,spell_pal_seal_of_command,sim/paladin/soc.go:59
paladin,20467,Judgement of Command,Rank 1,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,yes,yes,no,no,,,,,,sim/paladin/soc.go:31
core,20594,Stoneform,Racial,0,0,1,0,0,0,133,120000,0,100,100,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/core/racials.go:84
hunter,20895,Spirit Bond,Rank 2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/hunter/talents.go:155
paladin,21084,Seal of Righteousness,,10,1,2,0,0,1500,133,0,0,1800000,1800000,0,0,0,0,no,no,no,no,no,yes,no,no,no,yes,no,0,100,0,,spell_pal_seal_of_righteousness,sim/paladin/sor.go:74
common/tbc,21992,Thunderfury,,0,1,8,0,0,0,0,0,0,12000,12000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,27648,,sim/common/tbc/melee_items.go:31
rogue,22482,Blade Flurry,Rank 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/rogue/talents.go:426
druid,22812,Barkskin,,7,1,8,0,0,0,0,60000,0,12000,12000,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,0,0,0,50411,spell_dru_barkskin,sim/druid/barkskin.go:15
druid,22842,Frenzied Regeneration,,7,0,1,0,0,1500,133,0,180000,10000,10000,0,1000,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,spell_dru_frenzied_regeneration,sim/druid/frenzied_regeneration.go:11
warlock,23720,Blessing of the Black Book,,0,1,32,0,0,0,0,0,0,30000,30000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warlock/items.go:209 sim/warlock/items.go:213 sim/warlock/serverdata_allowlist.go:10
common/tbc,23863,Revitalize,,0,0,8,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,2,0,23864,,sim/common/tbc/melee_sets.go:106
common/tbc,23864,Revitalize,,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/common/tbc/melee_sets.go:108
warrior,23881,Bloodthirst,,4,2,1,0,0,1500,133,0,4000,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,spell_warr_bloodthirst,sim/warrior/bloodthirst.go:15
hunter,23989,Readiness,,9,0,1,0,0,1000,133,180000,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,spell_hun_readiness,sim/hunter/talents.go:810
common/tbc,24585,Drain Life,,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/common/tbc/melee_items.go:223
druid,24858,Moonkin Form,Shapeshift,7,0,1,0,0,1500,133,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,24907,,sim/druid/forms.go:403
hunter,25012,Lightning Breath,Rank 6,9,1,8,0,0,1500,133,10000,0,0,0,0,0,0,0,no,no,no,no,no,yes,no,no,no,no,no,,,,,,sim/hunter/pet_abilities.go:404 sim/hunter/serverdata_allowlist.go:15
core,25046,Arcane Torrent,Racial,0,1,64,0,0,0,0,120000,0,2000,2000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/racials.go:29
warrior,25203,Demoralizing Shout,Rank 7,4,1,1,0,0,1500,133,0,0,30000,30000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warrior/demoralizing_shout.go:13
paladin,25771,Forbearance,,10,0,2,0,0,0,0,0,0,120000,120000,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/paladin/divine_protection.go:65
paladin,25780,Righteous Fury,,10,1,2,0,0,1500,133,0,0,-1,-1,0,0,0,0,yes,no,no,no,no,yes,no,no,no,yes,no,,,,,,sim/paladin/righteous_fury.go:20
core,25899,Greater Blessing of Sanctuary,,10,1,2,0,0,1500,133,0,0,1800000,1800000,0,0,0,0,no,no,no,no,no,yes,no,no,no,yes,no,0,100,0,,spell_gen_damage_reduction_aura spell_pal_blessing_of_sanctuary,sim/core/buffs.go:462
core,26016,Vindication,Rank 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,3,0,0,26017,,sim/core/debuffs.go:740
core,26297,Berserking,Racial,0,0,1,0,0,0,0,180000,0,10000,10000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/core/racials.go:174
common/wotlk,26464,Mercurial Shield,,0,1,1,0,0,0,0,0,0,60000,60000,10,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/common/wotlk/other_effects.go:1080
common/tbc,26467,Persistent Shield,,3,1,1,0,0,0,0,0,0,30000,30000,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,0,100,0,13567,spell_item_persistent_shield,sim/common/tbc/caster_trinkets.go:46
common/tbc,26470,Persistent Shield,,3,0,8,0,0,0,0,0,0,8000,8000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/common/tbc/caster_trinkets.go:28
