area,spell_id,name,row,ppm,chance,icd_ms,charges,proc_flags,spell_type_mask,spell_phase_mask,hit_mask,attributes,school_mask,family,family_mask,sim_refs
paladin,20132,Redoubt,20132,0,100,0,5,0x2a8,0x0,0x0,0x40,,0x0,0,0x0 0x0 0x0,sim/paladin/talents.go:133
paladin,20154,Seal of Righteousness,0,0,100,0,0,0x14,0x7,0x2,0x0,,0x0,10,0x800000 0x0 0x8,sim/paladin/sor.go:55
paladin,20182,Reckoning,-20177,0,10,0,0,0x222a8,0x1,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/paladin/talents.go:179
core,20186,Judgement of Wisdom,20186,15,0,0,0,0x222a8,0x1,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/core/debuffs.go:199 sim/core/debuffs.go:203
core,20337,Heart of the Crusader,-20335,0,100,0,0,0x10,0x5,0x2,0x0,,0x0,10,0x800000 0x0 0x0,sim/core/debuffs.go:931
paladin,20375,Seal of Command,20375,0,100,0,0,0x14,0x1,0x2,0x0,,0x0,10,0x0 0x168000 0x0,sim/paladin/soc.go:121
paladin,21084,Seal of Righteousness,21084,0,100,0,0,0x14,0x1,0x2,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/paladin/sor.go:74
druid,22812,Barkskin,0,0,0,0,0,0x28,0x7,0x2,0x0,triggered_can_proc,0x0,7,0x1000265 0x0 0x0,sim/druid/barkskin.go:15
common/tbc,23863,Revitalize,0,0,2,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_sets.go:106
core,25899,Greater Blessing of Sanctuary,25899,0,100,0,0,0x28,0x0,0x0,0x70,,0x0,0,0x0 0x0 0x0,sim/core/buffs.go:478
core,26016,Vindication,-9452,3,0,0,0,0x11154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/core/debuffs.go:739
common/tbc,26467,Persistent Shield,26467,0,100,0,0,0x4000,0x2,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/caster_trinkets.go:46
common/tbc,27521,Mana Restore,27521,0,5,15000,0,0x15400,0x3,0x1,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/metagems.go:12 sim/common/tbc/metagems.go:49
core,28593,Winter's Chill,-11180,0,100,0,0,0x10000,0x0,0x2,0x3,,0x10,3,0x0 0x0 0x0,sim/core/debuffs.go:466
mage,29076,Master of Elements,-29074,0,100,8,0,0x10000,0x0,0x2,0x2,,0x14,3,0x0 0x0 0x0,sim/mage/talents.go:410
warrior,29724,Sudden Death,-29723,0,9,0,0,0x14,0x1,0x2,0x0,,0x0,4,0x0 0x0 0x0,sim/warrior/talents.go:588 sim/warrior/talents.go:595
shaman,30160,Elemental Devastation,-30160,0,100,500,0,0x10000,0x1,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/shaman/talents.go:152
shaman,30823,Shamanistic Rage,30823,18,0,0,0,0x14,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/shaman/shamanistic_rage.go:17
rogue,31245,Quick Recovery,-31244,0,100,0,0,0x110,0x5,0x2,0x2bbc,,0x0,8,0x3a0000 0x9 0x0,sim/rogue/rogue.go:151
mage,31572,Arcane Potency,-31571,0,101,0,0,0x4000,0x7,0x4,0x0,triggered_can_proc,0x0,3,0x0 0x22 0x0,sim/mage/talents.go:151
paladin,31801,Seal of Vengeance,31801,0,100,0,0,0x14,0x1,0x2,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/paladin/sov.go:163
core paladin,31878,Judgements of the Wise,-31876,0,100,0,0,0x110,0x1,0x2,0x0,,0x0,10,0x800000 0x0 0x0,sim/core/buffs.go:158 sim/paladin/talents.go:543 sim/paladin/talents.go:544 +1 more
priest,33154,Surge of Light,-33150,0,50,6000,0,0x14000,0x3,0x2,0x2,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/priest/talents.go:331
paladin,33776,Spiritual Attunement,-31785,0,100,0,0,0x88800,0x2,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/paladin/spiritual_attunement.go:15
hunter,34074,Aspect of the Viper,34074,0,100,0,0,0x11154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/hunter/aspects.go:74
hunter,34499,Thrill of the Hunt,-34497,0,100,0,0,0x40100,0x1,0x2,0x2,,0x0,9,0x60800 0x800001 0x201,sim/hunter/talents.go:611
hunter,34503,Expose Weakness,-34500,0,100,0,0,0x40140,0x1,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/hunter/talents.go:649
common/tbc,34774,Magtheridon Melee Trinket,34774,1.5,0,20000,0,0x154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_trinkets.go:13 sim/common/tbc/melee_trinkets.go:78
hunter,34839,Master Tactician,0,0,10,0,0,0x140,0x7,0x2,0x0,,0x0,9,0x7fa43 0x81 0x0,sim/hunter/talents.go:707
priest,34860,Holy Concentration,-34753,0,100,1,0,0x4000,0x0,0x2,0x2,triggered_can_proc,0x0,6,0x1800 0x4 0x1000,sim/priest/talents.go:256
core,34917,Vampiric Touch,-34914,0,100,0,0,0x20000,0x1,0x0,0x0,,0x0,6,0x2000 0x0 0x0,sim/core/mana.go:128
rogue,35553,Combat Potency,-35541,0,20,0,0,0x800000,0x0,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/rogue/talents.go:375
mage,36032,Arcane Blast,36032,0,100,0,1,0x10000,0x0,0x1,0x0,,0x0,3,0x1000 0x8000 0x0,sim/mage/arcane_blast.go:17
common/tbc,39958,Skyfire Swiftness,39958,0.7,0,40000,0,0x44,0x0,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/metagems.go:13 sim/common/tbc/metagems.go:74
common/tbc,40291,Siphon Essence,0,0,100,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_items.go:257 sim/common/tbc/melee_items.go:272
common/tbc,40407,Illidan Tank Shield,40407,6,0,0,0,0x2a8,0x1,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_items.go:10 sim/common/tbc/melee_items.go:301
common/tbc,40475,Black Temple Melee Trinket,40475,3,0,0,0,0x154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_trinkets.go:14 sim/common/tbc/melee_trinkets.go:148
warlock,40478,Warlock Tier 6 Trinket,40478,0,20,0,0,0x40000,0x0,0x2,0x0,,0x0,5,0x2 0x0 0x0,sim/warlock/items.go:238
common/tbc,41434,The Twin Blades of Azzinoth,41434,2,0,45000,0,0x14,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_sets.go:14 sim/common/tbc/melee_sets.go:19
common/tbc,41989,Fists of Fury,41989,1.5,0,0,0,0x14,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_sets.go:13 sim/common/tbc/melee_sets.go:18 sim/common/tbc/melee_sets.go:31
mage,42950,Dragon's Breath,0,0,100,0,1,0x222a8,0x1,0x2,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/mage/dragons_breath.go:14
mage,44401,Missile Barrage,44401,0,101,0,1,0x11000,0x5,0x4,0x0,req_spellmod,0x0,3,0x0 0x0 0x0,sim/mage/talents.go:246
mage,44448,Hot Streak,-44445,0,100,0,0,0x10000,0x1,0x2,0x0,,0x0,3,0x13 0x11000 0x0,sim/mage/talents.go:79 sim/mage/talents.go:99
mage,44545,Fingers of Frost,44545,0,15,0,0,0x10000,0x0,0x1,0x0,triggered_can_proc,0x0,3,0x100220 0x1000 0x0,sim/mage/talents.go:665
mage,44549,Brain Freeze,-44546,0,15,0,0,0x11000,0x0,0x2,0x0,,0x0,3,0x2e0 0x1000 0x0,sim/mage/talents.go:710
core mage,44561,Enduring Winter,-44557,0,100,6000,0,0x10000,0x0,0x2,0x0,,0x0,3,0x20 0x0 0x0,sim/core/buffs.go:162 sim/mage/frostbolt.go:16
common/tbc,46662,Deathfrost,46662,0,50,25000,0,0x50000,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/enchant_effects.go:12 sim/common/tbc/enchant_effects.go:187
druid,46832,Moonkin Starfire Bonus,46832,0,15,15000,0,0x10000,0x0,0x2,0x0,,0x0,7,0x1 0x0 0x0,sim/druid/items.go:158
core,46855,Trauma,-46854,0,100,0,0,0x14,0x1,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/core/debuffs.go:422
warrior,46916,Slam!,46916,0,100,0,1,0x10,0x0,0x4,0x0,triggered_can_proc,0x0,4,0x200000 0x0 0x0,sim/warrior/talents.go:234
hunter,46939,Black Bow of the Betrayer,0,0,100,0,0,0x140,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/hunter/items.go:28
warrior,46953,Sword and Board,-46951,0,30,0,0,0x10,0x0,0x2,0x0,,0x0,4,0x400 0x40 0x0,sim/warrior/talents.go:899
warlock,47283,Empowered Imp,0,0,100,0,1,0x11000,0x7,0x2,0x0,req_spellmod,0x0,5,0x3a5 0x8390c0 0x0,sim/warlock/talents.go:120
priest,47515,Divine Aegis,-47509,0,100,0,0,0x4400,0x2,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/priest/talents.go:82
priest,47517,Grace,-47516,0,100,0,0,0x4000,0x0,0x2,0x0,triggered_can_proc,0x0,6,0x1800 0x10000 0x0,sim/priest/talents.go:126
warlock,47836,Seed of Corruption,-27243,0,100,0,0,0xa22a8,0x1,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/warlock/seed.go:10
warlock,47855,Drain Soul,-1120,0,100,0,1,0x2,0x0,0x0,0x0,req_exp_or_honor,0x0,0,0x0 0x0 0x0,sim/warlock/drain_soul.go:38
priest,48113,Prayer of Mending,-33076,0,100,0,5,0xa22a8,0x1,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/priest/prayer_of_mending.go:11
core priest,48160,Vampiric Touch,-34914,0,100,0,0,0x20000,0x1,0x0,0x0,,0x0,6,0x2000 0x0 0x0,sim/core/buffs.go:154 sim/priest/mind_blast.go:16 sim/priest/vampiric_touch.go:13
druid,48393,Owlkin Frenzy,0,0,15,0,0,0x202a8,0x7,0x2,0x0,triggered_can_proc,0x0,3,0x400015 0x0 0x0,sim/druid/talents.go:551
core,48485,Infected Wounds,-48483,0,100,0,0,0x10,0x0,0x2,0x0,,0x0,7,0x8800 0x440 0x0,sim/core/debuffs.go:782
core,48511,Earth and Moon,-48506,0,100,0,0,0x10000,0x0,0x2,0x0,,0x0,7,0x5 0x0 0x0,sim/core/debuffs.go:283
core,48545,Revitalize,-48539,0,101,0,0,0x40000,0x2,0x2,0x0,,0x0,7,0x10 0x4000000 0x0,sim/core/buffs.go:1029
rogue,48660,Hemorrhage,0,0,100,0,10,0x222a8,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/rogue/hemorrhage.go:15
paladin,48835,Justice,48835,0,100,0,0,0x15510,0x0,0x2,0x0,triggered_can_proc,0x0,10,0x800000 0x0 0x0,sim/paladin/items.go:236
paladin,48952,Holy Shield,-20925,0,100,0,8,0x2a8,0x0,0x0,0x40,,0x0,0,0x0 0x0 0x0,sim/paladin/holy_shield.go:11
core deathknight,49005,Mark of Blood,49005,0,100,0,20,0x51154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/core/debuffs.go:824 sim/deathknight/mark_of_blood.go:14
deathknight,49028,Dancing Rune Weapon,49028,0,100,0,0,0x15114,0x5,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/deathknight/dancing_rune_weapon.go:23 sim/deathknight/dancing_rune_weapon.go:51
deathknight,49222,Bone Shield,49222,0,100,2000,3,0x222a8,0x1,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/deathknight/bone_shield.go:15
shaman,49281,Lightning Shield,-324,0,100,3500,3,0x222a8,0x1,0x0,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/shaman/lightning_shield.go:15
shaman,49284,Earth Shield,-974,0,100,3500,6,0x2a2a8,0x1,0x0,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/shaman/heals.go:247
deathknight,49483,Butchery,-48979,0,100,0,0,0x2,0x0,0x0,0x0,req_exp_or_honor,0x0,0,0x0 0x0 0x0,sim/deathknight/talents_blood.go:247
deathknight,49509,Scent of Blood,-49004,0,15,0,0,0x222a8,0x0,0x0,0x33,,0x0,0,0x0 0x0 0x0,sim/deathknight/talents_blood.go:138
deathknight,49530,Sudden Doom,-49018,0,15,0,0,0x10,0x1,0x2,0x0,,0x0,15,0x1400000 0x0 0x0,sim/deathknight/talents_blood.go:312
deathknight,49543,Bloodworms,-49027,0,9,20000,0,0x14,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/deathknight/talents_blood.go:422
deathknight,49796,Deathchill,49796,0,100,0,1,0x55510,0x0,0x4,0x0,req_spellmod,0x0,15,0x2 0x20006 0x0,sim/deathknight/talents_frost.go:224
deathknight,50887,Icy Talons,-50880,0,100,0,0,0x1010,0x0,0x2,0x0,triggered_can_proc,0x0,15,0x0 0x4000000 0x0,sim/deathknight/talents_frost.go:290
deathknight,51130,Killing Machine,51130,5,0,0,0,0x4,0x0,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/deathknight/talents_frost.go:161
shaman,51522,Improved Stormstrike,-51521,0,100,0,0,0x10,0x0,0x1,0x0,,0x0,11,0x0 0x1000000 0x0,sim/shaman/stormstrike.go:89
rogue,51701,Honor Among Thieves,51701,0,100,1000,0,0x55510,0x3,0x4,0x2,,0x0,0,0x0 0x0 0x0,sim/rogue/talents.go:594 sim/rogue/talents.go:595
priest,52800,Borrowed Time,-52795,0,100,0,0,0x4000,0x0,0x2,0x0,,0x0,6,0x1 0x0 0x0,sim/priest/talents.go:188
hunter,52858,Culling the Herd,-61680,0,100,0,0,0x10,0x1,0x2,0x2,,0x0,9,0x0 0x10000000 0x0,sim/hunter/pet_talents.go:104
hunter,53220,Improved Steady Shot,0,0,100,0,1,0x11140,0x7,0x2,0x0,req_spellmod,0x0,9,0x20800 0x0 0x1,sim/hunter/steady_shot.go:14
hunter,53232,Rapid Recuperation,-53228,0,100,0,0,0x4400,0x4,0x2,0x0,,0x0,9,0x20 0x1000000 0x0,sim/hunter/rapid_fire.go:15
hunter,53238,Piercing Shots,-53234,0,100,0,0,0x100,0x0,0x2,0x2,,0x0,9,0x20000 0x1 0x1,sim/hunter/talents.go:259
hunter,53260,Cobra Strikes,-53256,0,60,0,0,0x11140,0x0,0x2,0x2,,0x0,9,0x800 0x800001 0x0,sim/hunter/talents.go:203
core hunter,53292,Hunting Party,-53290,0,100,0,0,0x44540,0x1,0x2,0x2,triggered_can_proc,0x0,9,0x800 0x1 0x200,sim/core/buffs.go:156 sim/hunter/talents.go:783
deathknight,53386,Cinderglacier,53386,0,100,0,2,0x55510,0x1,0x2,0x0,triggered_can_proc,0x0,15,0x82127f27 0x1bf 0x0,sim/deathknight/items.go:723
shaman,53390,Tidal Waves,0,0,100,0,2,0x4400,0x7,0x2,0x0,req_spellmod,0x0,11,0xc0 0x0 0x0,sim/shaman/shaman.go:259
hunter,53401,Rabid,0,0,50,0,0,0x4,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/hunter/pet_talents.go:197
paladin,53488,The Art of War,-53486,0,100,0,0,0x1014,0x0,0x2,0x2,triggered_can_proc,0x0,10,0x800000 0x28000 0x0,sim/paladin/talents.go:467
hunter,53515,Owl's Focus,53515,0,100,0,1,0x15550,0x3,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/hunter/pet_talents.go:65
core,53530,Divine Guardian,-53527,0,100,0,0,0x400,0x0,0x2,0x1,,0x1,10,0x0 0x0 0x4,sim/core/buffs.go:836 sim/core/buffs.go:852 sim/core/serverdata_allowlist.go:27
core,53696,Judgements of the Just,-53695,0,100,0,0,0x10,0x5,0x2,0x0,triggered_can_proc,0x0,10,0x800000 0x0 0x8,sim/core/debuffs.go:794
shaman,53817,Maelstrom Weapon,53817,0,100,0,1,0x14000,0x0,0x1,0x0,req_spellmod,0x0,11,0x1c3 0x8000 0x0,sim/shaman/talents.go:410
warlock,54277,Backdraft,54277,0,100,0,3,0x15000,0x0,0x1,0x0,req_spellmod,0x0,5,0x165 0x200c0 0x0,sim/warlock/talents.go:418
common/wotlk,54696,Wracking Pains,0,0,100,0,0,0x54154,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_stacking.go:167
mage,54741,Firestarter,54741,0,101,0,1,0x10000,0x5,0x1,0x0,,0x0,3,0x4 0x0 0x0,sim/mage/talents.go:796
druid,54845,Glyph of Starfire,54845,0,101,0,0,0x10000,0x1,0x2,0x0,,0x0,7,0x4 0x0 0x0,sim/druid/starfire.go:21
deathknight,55226,Blade Barrier,-49182,0,100,0,0,0x15550,0x0,0x1,0x0,,0x0,15,0x0 0x0 0x0,sim/deathknight/talents_blood.go:215
common/wotlk,55640,Lightweave Embroidery,55640,0,35,60000,0,0x54000,0x0,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/enchant_effects.go:18 sim/common/wotlk/enchant_effects.go:357
common/wotlk,55768,Darkglow Embroidery,55768,0,35,45000,0,0x54000,0x0,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/enchant_effects.go:19 sim/common/wotlk/enchant_effects.go:391
common/wotlk,55776,Swordguard Embroidery,55776,0,20,55000,0,0x154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/enchant_effects.go:20 sim/common/wotlk/enchant_effects.go:428
hunter,56344,Lock and Load,-56342,0,100,22000,0,0x240000,0x0,0x6,0x0,triggered_can_proc,0x0,9,0x18 0x8000000 0x24000,sim/hunter/talents.go:545
rogue,57934,Tricks of the Trade,0,0,100,0,0,0x154,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/rogue/tricks_of_the_trade.go:11 sim/rogue/tricks_of_the_trade.go:29
shaman,57960,Water Shield,-52127,0,100,3500,3,0x222a8,0x1,0x0,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/shaman/shaman.go:31
core,58410,Master Poisoner,-31226,0,100,0,0,0x11000,0x5,0x2,0x0,triggered_can_proc,0x0,8,0x0 0x80000 0x0,sim/core/debuffs.go:919
core,58413,Savage Combat,-51682,0,100,0,0,0x11000,0x5,0x2,0x0,triggered_can_proc,0x0,8,0x0 0x80000 0x0,sim/core/debuffs.go:373
warrior,58874,Damage Shield,-58872,0,100,0,0,0x28,0x1,0x0,0x2043,,0x0,0,0x0 0x0 0x0,sim/warrior/talents.go:100
deathknight,59052,Freezing Fog,0,0,100,0,1,0x10000,0x7,0x2,0x0,req_spellmod,0x0,15,0x0 0x2 0x0,sim/deathknight/talents_frost.go:127
common/wotlk,59630,Black Magic,59630,0,35,35000,0,0x11010,0x5,0x1,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/common/wotlk/enchant_effects.go:17 sim/common/wotlk/enchant_effects.go:243
common/wotlk,60064,Now is the time!,0,0,100,0,0,0x15550,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:184 sim/common/wotlk/stat_bonus_procs.go:278 sim/common/wotlk/stat_bonus_procs.go:477
common/wotlk,60479,Forge Ember,0,0,100,0,0,0x15550,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:114
common/wotlk,60529,Forethought Talisman,60529,0,20,45000,0,0x4000,0x2,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/other_effects.go:19 sim/common/wotlk/other_effects.go:219
mage,61062,Improved Mana Gems,61062,0,101,0,0,0x4000,0x4,0x2,0x0,,0x0,3,0x0 0x100 0x0,sim/mage/mana_gems.go:18
warrior,61571,Spirits of the Lost,0,0,100,0,1,0x15510,0x7,0x2,0x0,req_spellmod,0x0,4,0xfe7ffefe 0xbc7e7 0x0,sim/warrior/items.go:130 sim/warrior/items.go:134
warlock,61595,Demonic Soul,0,0,100,0,1,0x10000,0x7,0x2,0x0,req_spellmod,0x0,5,0x1 0x40 0x0,sim/warlock/items.go:35
hunter,61847,Aspect of the Dragonhawk,-61846,0,0,0,0,0x40,0x0,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/hunter/aspects.go:32
encounters,62478,Frozen Blows,0,0,100,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/encounters/ulduar/hodir_ai.go:310 sim/encounters/ulduar/hodir_ai.go:321
druid,62606,Savage Defense,62606,0,100,0,1,0x2a8,0x0,0x0,0x403,,0x0,0,0x0 0x0 0x0,sim/druid/savage_defense.go:17
encounters,62821,Toasty Fire,0,0,33,0,0,0x10140,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/encounters/ulduar/hodir_ai.go:216
encounters,63512,Frozen Blows,0,0,100,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/encounters/ulduar/hodir_ai.go:310 sim/encounters/ulduar/hodir_ai.go:321
priest,63737,Serendipity,-63730,0,100,100,0,0x4000,0x0,0x2,0x0,,0x0,6,0x800 0x4 0x0,sim/priest/talents.go:290
common/wotlk,64411,Blessing of Ancient Kings,64411,0,100,0,0,0x44400,0x2,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/other_effects.go:21 sim/common/wotlk/other_effects.go:318 sim/common/wotlk/other_effects.go:345
common/wotlk,64415,Val'anyr Hammer of Ancient Kings - Equip Effect,64415,0,10,45000,0,0x44400,0x2,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/other_effects.go:20 sim/common/wotlk/other_effects.go:317
common/wotlk,64568,Blood Reserve,0,0,100,0,0,0x1a22a8,0x7,0x2,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/common/wotlk/enchant_effects.go:465
common/wotlk,64571,Blood Draining,64571,0,50,10000,0,0x41014,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/enchant_effects.go:21 sim/common/wotlk/enchant_effects.go:458
common/wotlk,64713,Flame of the Heavens,0,0,100,0,0,0x15550,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:355
