id,name,reason,diffs (server -> sim)
44097,Inherited Insignia of the Horde,scaling stats,stat Resilience: 0 -> 64
44098,Inherited Insignia of the Alliance,scaling stats,stat Resilience: 0 -> 64
44099,Strengthened Stockade Pauldrons,scaling stats,stat Strength: 0 -> 51; stat Stamina: 0 -> 76; stat Armor: 45 -> 1570; stat Resilience: 0 -> 51
44100,Pristine Lightforge Spaulders,scaling stats,stat Stamina: 0 -> 64; stat SpellPower: 0 -> 50; stat MP5: 0 -> 17; stat Armor: 31 -> 1570; stat Resilience: 0 -> 43
44101,Prized Beastmaster's Mantle,scaling stats,stat Agility: 0 -> 43; stat Stamina: 0 -> 64; stat AttackPower: 0 -> 86; stat Armor: 32 -> 878; stat RangedAttackPower: 0 -> 86; stat Resilience: 0 -> 43
44102,Aged Pauldrons of The Five Thunders,scaling stats,stat Stamina: 0 -> 51; stat Intellect: 0 -> 34; stat SpellPower: 0 -> 59; stat Armor: 32 -> 878; stat Resilience: 0 -> 51
44103,Exceptional Stormshroud Shoulders,scaling stats,stat Agility: 0 -> 37; stat Stamina: 0 -> 64; stat AttackPower: 0 -> 86; stat Armor: 13 -> 395; stat RangedAttackPower: 0 -> 86; stat Resilience: 0 -> 46
44105,Lasting Feralheart Spaulders,scaling stats,stat Stamina: 0 -> 51; stat Spirit: 0 -> 34; stat SpellPower: 0 -> 59; stat Armor: 14 -> 395; stat Resilience: 0 -> 51
44107,Exquisite Sunderseer Mantle,scaling stats,stat Stamina: 0 -> 51; stat SpellPower: 0 -> 59; stat SpellCrit: 0 -> 34; stat MeleeCrit: 0 -> 34; stat Armor: 2 -> 210; stat Resilience: 0 -> 51
48677,Champion's Deathdealer Breastplate,scaling stats,stat Agility: 0 -> 68; stat Stamina: 0 -> 68; stat Intellect: 0 -> 45; stat AttackPower: 0 -> 137; stat Armor: 35 -> 1171; stat RangedAttackPower: 0 -> 137
48683,Mystical Vest of Elements,scaling stats,stat Stamina: 0 -> 52; stat Intellect: 0 -> 52; stat SpellPower: 0 -> 80; stat MP5: 0 -> 34; stat Armor: 35 -> 1171
48685,Polished Breastplate of Valor,scaling stats,stat Strength: 0 -> 78; stat Stamina: 0 -> 78; stat SpellCrit: 0 -> 68; stat MeleeCrit: 0 -> 68; stat Armor: 60 -> 2093
48687,Preened Ironfeather Breastplate,scaling stats,stat Stamina: 0 -> 52; stat Intellect: 0 -> 52; stat Spirit: 0 -> 68; stat SpellPower: 0 -> 80; stat Armor: 16 -> 527
48689,Stained Shadowcraft Tunic,scaling stats,stat Stamina: 0 -> 103; stat SpellHit: 0 -> 68; stat AttackPower: 0 -> 137; stat MeleeHit: 0 -> 68; stat Armor: 19 -> 527; stat RangedAttackPower: 0 -> 137
48691,Tattered Dreadmist Robe,scaling stats,stat Stamina: 0 -> 52; stat Intellect: 0 -> 52; stat Spirit: 0 -> 68; stat SpellPower: 0 -> 80; stat Armor: 3 -> 280
48716,Venerable Mass of McGowan,scaling stats,stat Agility: 0 -> 29; stat Stamina: 0 -> 44; stat SpellCrit: 0 -> 19; stat AttackPower: 0 -> 39; stat MeleeCrit: 0 -> 19; stat RangedAttackPower: 0 -> 39; weapon damage min: 1 -> 168; weapon damage max: 0 -> 313
48718,Repurposed Lava Dredger,scaling stats,stat Agility: 0 -> 68; stat Stamina: 0 -> 103; stat AttackPower: 0 -> 91; stat ArmorPenetration: 0 -> 45; stat RangedAttackPower: 0 -> 91; weapon damage min: 1 -> 361; weapon damage max: 0 -> 543
50255,Dread Pirate Ring,scaling stats,stat Stamina: 0 -> 34; stat SpellHit: 0 -> 29; stat SpellCrit: 0 -> 53; stat MeleeHit: 0 -> 29; stat MeleeCrit: 0 -> 53
