kind,id,name,context,go_verdict,classic_verdict,spell_chain,server_values,server_values_not_in_go,go_numbers,go_locations,server_values_not_in_classic,classic_tooltip_numbers,server_description,classic_tooltip_text,module_files
item,30313,Staff of Disintegration,use,not in sim Go,manual: no numeric values (scripted spell),36480,,,,,,70 30,"Places a mental protection field on friendly targets within $a1 yards, granting immunity to Stun, Silence, and Disorient effects.","Mental Protection Field Instant Requires level 70 Places a mental protection field on friendly targets within 30 yards, granting immunity to Stun, Silence, and Disorient effects.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,30314,Phaseshift Bulwark,use,not in sim Go,match,36481,36481 effect1=100000; 36481 duration=4; item 30314 cooldown=30,,,,,100000 4,"Shields the caster, absorbing $s1 damage and making the caster immune to Fear and Snare effects for $d.","Arcane Barrier Instant Shields the caster, absorbing 100000 damage and making the caster immune to Fear and Snare effects for 4 sec.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,30316,Devastation,chance on hit,not in sim Go,match,36479,36479 effect1=50; 36479 effect2=20; 36479 duration=30,,,,,70 50 20 30,"Increases your movement speed by $s1%, and your melee attack speed by $s2% for $d.","Speed Infusion Instant Requires level 70 Increases your movement speed by 50%, and your melee attack speed by 20% for 30 sec.",
item,30317,Cosmic Infuser,equip,not in sim Go,match,36488 > 36483,36483 effect1=50; 36483 duration=30,,,,,100 70 50 30 100 70,Friendly targets of the caster's heals gain an effect that reduces the damage taken by Fire and Shadow spells by $36483s1% for $36483d.,Infernal Protection 100 yd range Requires level 70 Friendly targets of the caster's heals gain an effect that reduces the damage taken by Fire and Shadow spells by 50% for 30 sec.,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,30318,Netherstrand Longbow,equip,not in sim Go,match,36413,36413 effect1=50,,,,,50,Increases your ranged weapon critical strike damage bonus by $s1%.,Mortal Shots Requires Hunter Increases your ranged weapon critical strike damage bonus by 50%.,
item,30318,Netherstrand Longbow,use,not in sim Go,manual: no numeric values (scripted spell),36412,,,,,,1,Summons a bundle of Nether Spikes for use as ammo.,Summon Nether Spikes Instant Requires Mage Requires level 1 Summons a bundle of Nether Spikes for use as ammo.,
item,30318,Netherstrand Longbow,chance on hit,not in sim Go,match,36482,36482 effect1=5; 36482 duration=30; item 30318 ppm=5,,,,,100 70 5 30,Increases Physical damage taken by the target by $s1%. Can be applied up to 5 times. Lasts $d.,Armor Disruption 100 yd range Instant Requires level 70 Increases Physical damage taken by the target by 5%. Can be applied up to 5 times. Lasts 30 sec.,
item,30627,Tsunami Talisman,equip,matches server,match,42083 > 42084,42083 proc chance=10; 42083 proc cooldown=45; 42084 effect1=340; 42084 effect2=340; 42084 duration=10,,340 10 0.1 45,sim/common/tbc/melee_trinkets.go:103 sim/common/tbc/melee_trinkets.go:105,,60 340 10 45 340 10,Chance on critical hit to increase your attack power by 340 for 10 secs.,"Fury of the Crashing Waves Requires level 60 Chance on critical hit to increase your attack power by 340 for 10 secs. (Proc chance: 10%, 45s cooldown)",
item,30720,Serpent-Coil Braid,equip,differs from server (not registered),differs,37447,37447 effect1=25; 37447 effect2=100,37447 effect1=25; 37447 effect2=100,225 15,sim/mage/mana_gems.go:22 sim/mage/mana_gems.go:23,37447 effect2=100,25 225 15,"You gain $s1% more mana when you use a mana gem.  In addition, using a mana gem grants you $37445s1 spell power for $37445d.","Improved Mana Gems Requires Mage You gain 25% more mana when you use a mana gem. In addition, using a mana gem grants you 225 spell power for 15 sec.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,30883,Pillar of Ferocity,equip,not in sim Go,match,44916,44916 effect1=1059,,,,,1059,"Increases attack power by $s1 in Cat, Bear, Dire Bear, and Moonkin forms only.","Attack Power - Feral (+1059) Requires Cat Form, Bear Form, Dire Bear Form, Moonkin Form Increases attack power by 1059 in Cat, Bear, Dire Bear, and Moonkin forms only.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,30892,Beast-tamer's Shoulders,equip,differs from server,differs,27206 > 27205,27205 effect1=3; 27205 duration=4,27205 duration=4,1.03 2,sim/common/tbc/other_items.go:9,27205 duration=4,3 100 3,Increases damage dealt by your pet by 3%.,Increased Pet Damage +3% Increases damage dealt by your pet by 3%.,
item,30892,Beast-tamer's Shoulders,equip,differs from server,differs,27043 > 27042,27042 effect1=2; 27042 duration=4,27042 duration=4,1.03 2,sim/common/tbc/other_items.go:9,27042 duration=4,2 100 2,Increases your pet's critical strike chance by 2%.,Increased Pet Crit +2% Increases your pet's critical strike chance by 2%.,
item,31193,Blade of Unquenched Thirst,chance on hit,matches server,match,24585,24585 effect1=54; 24585 effect1 min=48; item 31193 ppm=1,,1 48 54 0.02,sim/common/tbc/melee_items.go:214 sim/common/tbc/melee_items.go:217 sim/common/tbc/melee_items.go:236 sim/common/tbc/melee_items.go:220,,40 45 48 54,Steals $s1 life from target enemy.,Drain Life 40 yd range Instant Requires level 45 Steals 48 to 54 life from target enemy.,
item,32235,Cursed Vision of Sargeras,use,not in sim Go,manual: no values a tooltip shows,47524,item 32235 cooldown=600,,,,,1.5 24,Shows the location of all nearby demons on the minimap until cancelled.  Only one form of tracking can be active at a time.,Sense Demons Instant 1.5 sec cooldown Requires level 24 Shows the location of all nearby demons on the minimap until cancelled. Only one form of tracking can be active at a time.,
item,32257,Idol of the White Stag,equip,matches server,match,41037 > 41038,41038 effect1=94; 41038 effect2=94; 41038 duration=20,,94 20,sim/druid/items.go:326 sim/druid/items.go:329,,94 20 40,Your Mangle ability also increases your attack power by $41038s1 for $41038d.,Mangle AP Buff Requires Druid Your Mangle ability also increases your attack power by 94 for 20 sec.,
item,32262,Syphon of the Nathrezim,chance on hit,matches server,differs,40291 > 40293,40291 duration=6; item 32262 ppm=1; 40293 effect1=20,,1 20 6,sim/common/tbc/melee_items.go:247 sim/common/tbc/melee_items.go:250 sim/common/tbc/melee_items.go:254 sim/common/tbc/melee_items.go:269,40291 duration=6; 40293 effect1=20,,Fills you with fel energy allowing all melee attacks to drain life from opponents.,Siphon Essence Instant Fills you with fel energy allowing all melee attacks to drain life from opponents.,
item,32330,Totem of Ancestral Guidance,equip,matches server (not registered),match,41040,41040 effect1=85,,0 33 55 85 165,sim/shaman/electric_spell.go:12 sim/shaman/electric_spell.go:84,,85,Increases spell power of Chain Lightning and Lightning Bolt by $s1.,Increased Lightning Damage Requires Shaman Increases spell power of Chain Lightning and Lightning Bolt by 85.,
item,32336,Black Bow of the Betrayer,equip,manual: no numeric values,manual: no numeric values (scripted spell),46939 > 18350,,,8,sim/hunter/items.go:23 sim/hunter/items.go:26,,8,On successful ranged attack gain $29471s1 mana and if possible drain $27526s1 mana from the target.,Black Bow of the Betrayer On successful ranged attack gain 8 mana and if possible drain 8 mana from the target.,
item,32368,Tome of the Lightbringer,equip,matches server,match,41042 > 41043,41043 effect1=186; 41043 duration=10,,186 10,sim/paladin/items.go:438 sim/paladin/items.go:440,,186 10 186,Your Judgement ability also increases your shield block value by $41043s1 for $41043d.,Judgement Block Value Requires Paladin Your Judgement ability also increases your shield block value by 186 for 10 sec.,
item,32375,Bulwark of Azzinoth,equip,differs from server,match,40407 > 40408,40407 proc chance=2; 40407 ppm=6; 40408 effect1=2000; 40408 duration=10,40407 ppm=6,0.02 2000 10,sim/common/tbc/melee_items.go:298 sim/common/tbc/melee_items.go:302,,60 2 2000 10 2 1 28 2000,When struck in combat has a 2% chance of increasing your Armor by 2000 for 10 secs.,Illidan Tank Shield Requires level 60 When struck in combat has a 2% chance of increasing your Armor by 2000 for 10 secs. (Proc chance: 2%),modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,32387,Idol of the Raven Goddess,equip,differs from server,match,39926,39926 effect1=44; 39926 effect2=40; 39926 effect3=40,39926 effect1=44,40,sim/druid/items.go:394,,44 40,"Increases your healing spell power while in Tree of Life form by $s1, your $s2 critical strike rating to while giving Leader of the Pack aura, and your $s3 spell critical strike rating while giving Moonkin form aura.","Improved Party Auras Requires Druid Increases your healing spell power while in Tree of Life form by 44, your 40 critical strike rating to while giving Leader of the Pack aura, and your 40 spell critical strike rating while giving Moonkin form aura.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,32471,Shard of Azzinoth,chance on hit,not in sim Go,differs,40393,40393 duration=15,,,,40393 duration=15,50 70,Calls forth an Ember of Azzinoth to protect you in battle for a short period of time.,Embers of Azzinoth 50 Mana Instant Requires level 70 Calls forth an Ember of Azzinoth to protect you in battle for a short period of time.,
item,32483,The Skull of Gul'dan,use,matches server,match,40396,40396 effect1=175; 40396 duration=20; item 32483 cooldown=120,,175 20 120 2,sim/common/tbc/caster_trinkets.go:13,,60 175 20,"Tap into the power of the skull, increasing haste rating by $s1 for $d1.","Fel Infusion Instant Requires level 60 Tap into the power of the skull, increasing haste rating by 175 for 20 sec.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,32485,Ashtongue Talisman of Valor,equip,not in sim Go,match,40458 > 40459,40458 proc chance=25; 40459 effect1=330; 40459 effect2=55; 40459 duration=12,,,,,6 25 330 55 12 25 101 330 55 12,"Your Mortal Strike, Bloodthirst, and Shield Slam attacks have a $h% chance to heal you for $40459s1 and grant $40459s2 Strength for $40459d.","Warrior Tier 6 Trinket Requires Warrior Your Mortal Strike, Bloodthirst, and Shield Slam attacks have a 25% chance to heal you for 330 and grant 55 Strength for 12 sec. (Proc chance: 25%)",
item,32486,Ashtongue Talisman of Equilibrium,equip,manual: no numeric values,manual: no numeric values (scripted spell),40442,,,150 8 140 0.25 0.4,sim/druid/items.go:290 sim/druid/items.go:296,,6 40 140 8 25 150 8 25 112 8,"Mangle has a 40% chance to grant $40452s1 Strength for $40452d, Starfire has a 25% chance to grant $40445s1 spell power for $40445d, and Rejuvenation has a 25% chance to grant  $40446s1 spell power for $40446d.","Druid Tier 6 Trinket Requires Druid Mangle has a 40% chance to grant 140 Strength for 8 sec, Starfire has a 25% chance to grant 150 spell power for 8 sec, and Rejuvenation has a 25% chance to grant 112 spell power for 8 sec.",
item,32487,Ashtongue Talisman of Swiftness,equip,matches server,match,40485 > 40487,40485 proc chance=15; 40487 effect1=275; 40487 effect2=275; 40487 duration=8,,275 8 0.15,sim/hunter/items.go:43 sim/hunter/items.go:46,,6 15 275 8 15 101 275 8,Your Steady Shot has a $h% chance to grant you $40487s1 attack power for $40487d.,Hunter Tier 6 Trinket Requires Hunter Your Steady Shot has a 15% chance to grant you 275 attack power for 8 sec. (Proc chance: 15%),
item,32488,Ashtongue Talisman of Insight,equip,not in sim Go,match,40482 > 40483,40482 proc chance=50; 40483 effect1=145; 40483 duration=5,,,,,6 50 145 5 50 145,Your spell critical strikes have a 50% chance to grant you $40483s1 spell haste rating for $40483d.,Mage Tier 6 Trinket Your spell critical strikes have a 50% chance to grant you 145 spell haste rating for 5 sec. (Proc chance: 50%),
item,32489,Ashtongue Talisman of Zeal,equip,manual: no numeric values,manual: no numeric values (scripted spell),40470,,,1 4 2 480 0.5,sim/paladin/items.go:492 sim/paladin/items.go:497,,6 15 760 12 50 480 8,"Flash of Light and Holy Light have a 15% chance to grant your target $40471o healing over $40471d, and your Judgements have a 50% chance to inflict $40472o damage on their target over $40472d.","Paladin Tier 6 Trinket Requires Paladin Flash of Light and Holy Light have a 15% chance to grant your target 760 healing over 12 sec, and your Judgements have a 50% chance to inflict 480 damage on their target over 8 sec.",
item,32490,Ashtongue Talisman of Acumen,equip,not in sim Go,match,40438,40438 proc chance=10,,,,,6 10 220 10 117 5 10,"Each time your Shadow Word: Pain deals damage, it has a $h% chance to grant you $40441s1 spell power for $40441d and each time your Renew heals, it has a $h% chance to grant you $40440s1 spell power for $40440d.","Priest Tier 6 Trinket Requires Priest Each time your Shadow Word: Pain deals damage, it has a 10% chance to grant you 220 spell power for 10 sec and each time your Renew heals, it has a 10% chance to grant you 117 spell power for 5 sec. (Proc chance: 10%)",
item,32491,Ashtongue Talisman of Vision,equip,not in sim Go,manual: no numeric values (scripted spell),40463,,,,,,6 10 170 15 170 50 275 10,"Lesser Healing Wave has a 10% chance to grant $40465s1 mana, Lightning Bolt has a 15% chance to grant up to $40465s1 mana, and Stormstrike has a 50% chance to grant up to $40466s1 attack power for $40466d.","Shaman Tier 6 Trinket Requires Shaman Lesser Healing Wave has a 10% chance to grant 170 mana, Lightning Bolt has a 15% chance to grant up to 170 mana, and Stormstrike has a 50% chance to grant up to 275 attack power for 10 sec.",
item,32492,Ashtongue Talisman of Lethality,equip,matches server,match,40460 > 40461,40461 effect1=145; 40461 duration=10,,145 10 0 0.2,sim/rogue/items.go:150 sim/rogue/items.go:152,,6 20 145 10 145,20% chance per combo point for your finishing moves to grant $40461s1 critical strike rating for $40461d.,Rogue Tier 6 Trinket Requires Rogue 20% chance per combo point for your finishing moves to grant 145 critical strike rating for 10 sec.,
item,32493,Ashtongue Talisman of Shadows,equip,matches server,match,40478 > 40480,40478 proc chance=20; 40480 effect1=220; 40480 duration=5,,220 5 0.2,sim/warlock/items.go:236 sim/warlock/items.go:238,,6 20 220 5 20 220,"Each time your Corruption deals damage, it has a $h% chance to grant you $40480s1 spell power for $40480d.","Warlock Tier 6 Trinket Requires Warlock Each time your Corruption deals damage, it has a 20% chance to grant you 220 spell power for 5 sec. (Proc chance: 20%)",
item,32496,Memento of Tyrande,equip,not in sim Go,match,37655 > 37656,37655 proc chance=10; 37655 proc cooldown=50; 37656 effect1=95; 37656 duration=15,,,,,95 5 15 10 50,"Each time you cast a spell, there is chance you will gain up to $37656s1 mana per 5 for $37656d.","Bonus Mana Regen Requires Paladin Each time you cast a spell, there is chance you will gain up to 95 mana per 5 for 15 sec. (Proc chance: 10%, 50s cooldown)",
item,32500,Crystal Spire of Karabor,equip,not in sim Go,match,40971 > 40972,40972 effect1=220; 40972 effect1 min=180,,,,,50 180 220 100 30 180 220,"If your target is below $s1% health, your direct healing spells will cause your target to be healed for an additional $40972s1 health.","Bonus Healing Requires Paladin If your target is below 50% health, your direct healing spells will cause your target to be healed for an additional 180 to 220 health.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,32501,Shadowmoon Insignia,use,matches server,match,40464,40464 effect1=1750; 40464 duration=20; item 32501 cooldown=180,,1750 20 180 3,sim/common/tbc/melee_trinkets.go:21,,1750 20,Increases your maximum health by $s1 for $d1.,Protector's Vigor Instant Increases your maximum health by 1750 for 20 sec.,
item,32505,Madness of the Betrayer,equip,differs from server,match,40475 > 40477,40475 ppm=3; 40477 effect1=42; 40477 duration=10,40475 ppm=3,42 10 1,sim/common/tbc/melee_trinkets.go:139 sim/common/tbc/melee_trinkets.go:141,,60 42 10 30 60 42,Your melee and ranged attacks have a chance to increase your armor penetration rating by 42 for 10 secs.,Black Temple Melee Trinket Requires level 60 Your melee and ranged attacks have a chance to increase your armor penetration rating by 42 for 10 secs.,
item,32589,Hellfire-Encased Pendant,equip,not in sim Go,match,17885,17885 effect1=51,,,,,51,Increases fire spell power by $s1.,Increase Fire Dam 51 Increases fire spell power by 51.,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,32590,Nethervoid Cloak,equip,not in sim Go,match,18027,18027 effect1=53,,,,,53,Increases shadow spell power by $s1.,Increase Shadow Dam 53 Increases shadow spell power by 53.,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,32658,Badge of Tenacity,use,matches server,match,40729,40729 effect1=150; 40729 duration=20; item 32658 cooldown=120,,150 20 120 2,sim/common/tbc/melee_trinkets.go:15,,40 150 20,Increases agility by $s1 for $d.,Heightened Reflexes 40 yd range Instant Increases agility by 150 for 20 sec.,
item,32757,Blessed Medallion of Karabor,use,not in sim Go,manual: no values a tooltip shows,41234,item 32757 cooldown=900,,,,,10 20,Teleports the bearer to the footsteps of Illidan's fortress.,Teleport: Black Temple 10 sec cast Requires Mage Requires level 20 Teleports the bearer to the footsteps of Illidan's fortress.,
item,33504,Libram of Divine Purpose,equip,not in sim Go,differs,43743,43743 effect1=94; 43743 effect2=68,,,,43743 effect2=68,94,Increases the spell power of your Seal of Righteousness and Judgement of Righteousness abilities by $s1.,Improved Seal of Righteousness Requires Paladin Increases the spell power of your Seal of Righteousness and Judgement of Righteousness abilities by 94.,
item,33506,Skycall Totem,equip,differs from server,match,43750 > 43751,43750 proc chance=15; 43750 proc cooldown=30; 43751 effect1=100; 43751 duration=10,43751 effect1=100,101 10 30 49238 0.15,sim/shaman/items.go:68 sim/shaman/items.go:70,,100 10 15 30 50 100,Your Lightning Bolt spell has a chance to grant $43751s1 haste rating for $43751d.,"Energized Requires Shaman Your Lightning Bolt spell has a chance to grant 100 haste rating for 10 sec. (Proc chance: 15%, 30s cooldown)",
item,33507,Stonebreaker's Totem,equip,matches server,match,43748 > 43749,43748 proc chance=50; 43748 proc cooldown=10; 43749 effect1=110; 43749 duration=10,,110 10 0.5,sim/shaman/items.go:95 sim/shaman/items.go:97,,110 10 50 10 50,Your Shock spells have a chance to grant $43749s1 attack power for $43749d.,"Elemental Strength Requires Shaman Your Shock spells have a chance to grant 110 attack power for 10 sec. (Proc chance: 50%, 10s cooldown)",
item,33508,Idol of Budding Life,equip,not in sim Go,match,43736,43736 effect1=36,,,,,36,Reduces the mana cost of Rejuvenation by $s1.,Reduced Rejuvenation Cost Requires Druid Reduces the mana cost of Rejuvenation by 36.,
