id,name,category,server_ilvl,sim_ilvl,zone,difficulty,diffs (server -> sim),server_unmapped_stat_types,module_files,sim_sources
30976,Onslaught Chestguard,module,146,146,vendor: Tydormu,,stat Strength: 0 -> 37; stat Agility: 37 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30978,Onslaught Legguards,module,146,146,vendor: Tydormu,,stat Strength: 0 -> 40; stat Agility: 24 -> 0; stat Defense: 40 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30980,Onslaught Shoulderguards,module,146,146,vendor: Tydormu,,stat Strength: 0 -> 31; stat Parry: 31 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30985,Lightbringer Handguards,module,146,146,vendor: Tydormu,,stat Strength: 0 -> 43; stat Intellect: 28 -> 0; stat SpellPower: 34 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30987,Lightbringer Faceguard,module,146,146,vendor: Tydormu,,stat Strength: 0 -> 50; stat Intellect: 27 -> 0; stat SpellPower: 43 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30988,Lightbringer Greathelm,module,146,146,vendor: Tydormu,,stat MeleeCrit: 0 -> 36,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30991,Lightbringer Chestguard,module,146,146,vendor: Tydormu,,stat Strength: 0 -> 43; stat Intellect: 22 -> 0; stat SpellPower: 39 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30992,Lightbringer Chestpiece,module,146,146,vendor: Tydormu,,stat MeleeCrit: 0 -> 28,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30994,Lightbringer Leggings,module,146,146,vendor: Tydormu,,stat MeleeCrit: 0 -> 34,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30995,Lightbringer Legguards,module,146,146,vendor: Tydormu,,stat Strength: 0 -> 54; stat Intellect: 31 -> 0; stat SpellPower: 46 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30996,Lightbringer Pauldrons,module,146,146,vendor: Tydormu,,stat MeleeCrit: 0 -> 18,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30998,Lightbringer Shoulderguards,module,146,146,vendor: Tydormu,,stat Strength: 0 -> 35; stat Intellect: 24 -> 0; stat SpellPower: 27 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31008,Skyshatter Gauntlets,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 19; stat MeleeCrit: 0 -> 26,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31011,Skyshatter Grips,module,146,146,vendor: Tydormu,,stat Strength: 39 -> 0; stat AttackPower: 0 -> 78; stat RangedAttackPower: 0 -> 78,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31014,Skyshatter Headguard,module,146,146,vendor: Tydormu,,stat MeleeCrit: 0 -> 36,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31015,Skyshatter Cover,module,146,146,vendor: Tydormu,,stat Strength: 53 -> 0; stat AttackPower: 0 -> 106; stat RangedAttackPower: 0 -> 106,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31017,Skyshatter Breastplate,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 17; stat MeleeCrit: 0 -> 27,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31018,Skyshatter Tunic,module,146,146,vendor: Tydormu,,stat Strength: 46 -> 0; stat AttackPower: 0 -> 92; stat RangedAttackPower: 0 -> 92,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31020,Skyshatter Legguards,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 20; stat MeleeCrit: 0 -> 29,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31021,Skyshatter Pants,module,146,146,vendor: Tydormu,,stat Strength: 46 -> 0; stat AttackPower: 0 -> 92; stat RangedAttackPower: 0 -> 92,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31023,Skyshatter Mantle,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 11; stat MeleeCrit: 0 -> 27,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31024,Skyshatter Pauldrons,module,146,146,vendor: Tydormu,,stat Strength: 34 -> 0; stat AttackPower: 0 -> 68; stat RangedAttackPower: 0 -> 68,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31034,Thunderheart Gauntlets,module,146,146,vendor: Tydormu,,stat Stamina: 34 -> 48; stat Armor: 539 -> 287,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31035,Thunderheart Handguards,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 12; stat MeleeCrit: 0 -> 21,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31039,Thunderheart Cover,module,146,146,vendor: Tydormu,,stat Agility: 39 -> 47; stat Armor: 611 -> 373,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31040,Thunderheart Headguard,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 13; stat MeleeCrit: 0 -> 29,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31042,Thunderheart Chestguard,module,146,146,vendor: Tydormu,,stat Agility: 36 -> 47; stat Armor: 781 -> 459,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31043,Thunderheart Vest,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 17; stat MeleeCrit: 0 -> 25,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31044,Thunderheart Leggings,module,146,146,vendor: Tydormu,,stat Agility: 41 -> 52; stat Armor: 737 -> 401,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31046,Thunderheart Pants,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 20; stat MeleeCrit: 0 -> 21,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31048,Thunderheart Pauldrons,module,146,146,vendor: Tydormu,,stat Agility: 36 -> 40; stat Armor: 484 -> 344,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31049,Thunderheart Shoulderpads,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 14; stat MeleeCrit: 0 -> 13,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31050,Gloves of the Malefic,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 11; stat MeleeCrit: 0 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31051,Hood of the Malefic,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 16; stat MeleeCrit: 0 -> 32,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31052,Robe of the Malefic,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 28,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31053,Leggings of the Malefic,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 19; stat MeleeCrit: 0 -> 37,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31054,Mantle of the Malefic,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 21; stat MeleeCrit: 0 -> 13,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31055,Gloves of the Tempest,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 20; stat MeleeCrit: 0 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31056,Cowl of the Tempest,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 13; stat MeleeCrit: 0 -> 29,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31057,Robes of the Tempest,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 13; stat MeleeCrit: 0 -> 23,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31058,Leggings of the Tempest,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 20; stat MeleeCrit: 0 -> 29,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31059,Mantle of the Tempest,module,146,146,vendor: Tydormu,,stat MeleeCrit: 0 -> 21,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31061,Handguards of Absolution,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31064,Hood of Absolution,module,146,146,vendor: Tydormu,,stat MeleeCrit: 0 -> 17,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31065,Shroud of Absolution,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 20; stat MeleeCrit: 0 -> 21,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31067,Leggings of Absolution,module,146,146,vendor: Tydormu,,stat MeleeCrit: 0 -> 28,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
31070,Shoulderpads of Absolution,module,146,146,vendor: Tydormu,,stat MeleeHit: 0 -> 12; stat MeleeCrit: 0 -> 17,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
32232,Eternium Shell Bracers,module,141,141,Black Temple,Normal,stat Strength: 0 -> 24; stat Defense: 24 -> 17; stat Dodge: 26 -> 18,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (High Warlord Naj'entus)
32237,The Maelstrom's Fury,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 22,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (High Warlord Naj'entus)
32238,Ring of Calming Waves,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (High Warlord Naj'entus)
32239,Slippers of the Seacaller,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 29,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (High Warlord Naj'entus)
32242,Boots of Oceanic Fury,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 26,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (High Warlord Naj'entus)
32243,Pearl Inlaid Boots,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 28,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (High Warlord Naj'entus)
32245,Tide-stomper's Greaves,module,141,141,Black Temple,Normal,stat Strength: 0 -> 26; stat SpellPower: 30 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (High Warlord Naj'entus)
32247,Ring of Captured Storms,module,141,141,Black Temple,Normal,stat MeleeHit: 0 -> 19; stat MeleeCrit: 0 -> 29,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (High Warlord Naj'entus)
32250,Pauldrons of Abyssal Fury,module,141,141,Black Temple,Normal,stat Strength: 0 -> 24; stat Dodge: 36 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Supremus)
32255,Felstone Bulwark,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 27,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Supremus)
32256,Waistwrap of Infinity,module,141,141,Black Temple,Normal,stat MeleeHaste: 0 -> 32,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Supremus)
32258,Naturalist's Preserving Cinch,module,141,141,Black Temple,Normal,stat MeleeHaste: 0 -> 37,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Supremus)
32259,Bands of the Coming Storm,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 21,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Supremus)
32263,Praetorian's Legguards,module,141,141,Black Temple,Normal,stat Strength: 0 -> 35; stat Dodge: 35 -> 28; stat Parry: 43 -> 29,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Shade of Akama)
32268,Myrmidon's Treads,module,141,141,Black Temple,Normal,stat Strength: 0 -> 18; stat Dodge: 26 -> 17,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Shade of Akama)
32270,Focused Mana Bindings,module,141,141,Black Temple,Normal,stat MeleeHit: 0 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Shade of Akama)
32275,Spiritwalker Gauntlets,module,141,141,Black Temple,Normal,stat MeleeHaste: 0 -> 37,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Shade of Akama)
32276,Flashfire Girdle,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 18; stat MeleeHaste: 0 -> 37,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Shade of Akama)
32279,The Seeker's Wristguards,module,141,141,Black Temple,Normal,stat Strength: 0 -> 28; stat SpellPower: 22 -> 0; stat Block: 28 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Shade of Akama)
32280,Gauntlets of Enforcement,module,141,141,Black Temple,Normal,stat Strength: 0 -> 22; stat Defense: 32 -> 21,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Teron Gorefiend)
32326,Twisted Blades of Zarak,module,141,141,Black Temple,Normal,weapon damage min: 101 -> 146; weapon damage max: 152 -> 219,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Teron Gorefiend)
32327,Robe of the Shadow Council,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 28,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Teron Gorefiend)
32328,Botanist's Gloves of Growth,module,141,141,Black Temple,Normal,stat MeleeHaste: 0 -> 37,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Teron Gorefiend)
32331,Cloak of the Illidari Council,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 25,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (The Illidari Council)
32333,Girdle of Stability,module,141,141,Black Temple,Normal,stat Strength: 0 -> 24; stat BlockValue: 112 -> 75,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Gurtogg Bloodboil)
32338,Blood-cursed Shoulderpads,module,141,141,Black Temple,Normal,stat MeleeHit: 0 -> 18; stat MeleeCrit: 0 -> 25,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Gurtogg Bloodboil)
32339,Belt of Primal Majesty,module,141,141,Black Temple,Normal,stat MeleeHaste: 0 -> 37,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Gurtogg Bloodboil)
32342,Girdle of Mighty Resolve,module,141,141,Black Temple,Normal,stat Strength: 0 -> 26; stat SpellPower: 30 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Gurtogg Bloodboil)
32343,Wand of Prismatic Focus,module,141,141,Black Temple,Normal,stat MeleeHit: 0 -> 13,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Gurtogg Bloodboil)
32349,Translucent Spellthread Necklace,module,141,141,Black Temple,Normal,stat MeleeHit: 0 -> 15; stat MeleeCrit: 0 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Reliquary of the Lost)
32351,Elunite Empowered Bracers,module,141,141,Black Temple,Normal,stat MeleeHit: 0 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Reliquary of the Lost)
32352,Naturewarden's Treads,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 26,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Reliquary of the Lost)
32354,Crown of Empowered Fate,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 42,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Reliquary of the Lost)
32361,Blind-Seers Icon,module,141,141,Black Temple,Normal,stat MeleeHit: 0 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Shade of Akama)
32367,Leggings of Devastation,module,141,141,Black Temple,Normal,stat MeleeHit: 0 -> 26,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Mother Shahraz)
32370,Nadina's Pendant of Purity,module,141,141,Black Temple,Normal,stat MeleeCrit: 0 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Black Temple Normal (Mother Shahraz)
